1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: E10000007BE97941
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1800 second(s)
Mission Start Time:  Tue May 10 15:51:01 PDT 2022
Mission Sample Count:  8192
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Tue May 10 15:51:01 PDT 2022
Total Mission Samples:  8192
Total Device Samples:  29721
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5/13/22, 8:51:01 AM,C,6.612
5/13/22, 9:21:01 AM,C,7.617
5/13/22, 9:51:01 AM,C,10.129
5/13/22, 10:21:01 AM,C,12.639
5/13/22, 10:51:01 AM,C,14.646
5/13/22, 11:21:01 AM,C,13.141
5/13/22, 11:51:01 AM,C,14.144
5/13/22, 12:21:01 PM,C,14.144
5/13/22, 12:51:01 PM,C,15.147
5/13/22, 1:21:01 PM,C,15.147
5/13/22, 1:51:01 PM,C,19.157
5/13/22, 2:21:01 PM,C,15.649
5/13/22, 2:51:01 PM,C,14.646
5/13/22, 3:21:01 PM,C,16.651
5/13/22, 3:51:01 PM,C,18.656
5/13/22, 4:21:01 PM,C,18.155
5/13/22, 4:51:01 PM,C,15.147
5/13/22, 5:21:01 PM,C,17.152
5/13/22, 5:51:01 PM,C,13.642
5/13/22, 6:21:01 PM,C,13.642
5/13/22, 6:51:01 PM,C,12.639
5/13/22, 7:21:01 PM,C,11.133
5/13/22, 7:51:01 PM,C,9.627
5/13/22, 8:21:01 PM,C,9.125
5/13/22, 8:51:01 PM,C,8.622
5/13/22, 9:21:01 PM,C,8.12
5/13/22, 9:51:01 PM,C,7.617
5/13/22, 10:21:01 PM,C,7.617
5/13/22, 10:51:01 PM,C,7.115
5/13/22, 11:21:01 PM,C,7.115
5/13/22, 11:51:01 PM,C,7.115
5/14/22, 12:21:01 AM,C,6.612
5/14/22, 12:51:01 AM,C,5.104
5/14/22, 1:21:01 AM,C,4.098
5/14/22, 1:51:01 AM,C,4.098
5/14/22, 2:21:01 AM,C,5.104
5/14/22, 2:51:01 AM,C,4.601
5/14/22, 3:21:01 AM,C,5.607
5/14/22, 3:51:01 AM,C,5.104
5/14/22, 4:21:01 AM,C,3.595
5/14/22, 4:51:01 AM,C,3.092
5/14/22, 5:21:01 AM,C,1.582
5/14/22, 5:51:01 AM,C,1.582
5/14/22, 6:21:01 AM,C,1.078
5/14/22, 6:51:01 AM,C,1.582
5/14/22, 7:21:01 AM,C,3.595
5/14/22, 7:51:01 AM,C,7.115
5/14/22, 8:21:01 AM,C,10.631
5/14/22, 8:51:01 AM,C,12.137
5/14/22, 9:21:01 AM,C,14.646
5/14/22, 9:51:01 AM,C,17.654
5/14/22, 10:21:01 AM,C,17.654
5/14/22, 10:51:01 AM,C,22.161
5/14/22, 11:21:01 AM,C,27.162
5/14/22, 11:51:01 AM,C,21.16
5/14/22, 12:21:01 PM,C,21.16
5/14/22, 12:51:01 PM,C,24.662
5/14/22, 1:21:01 PM,C,21.66
5/14/22, 1:51:01 PM,C,21.16
5/14/22, 2:21:01 PM,C,21.16
5/14/22, 2:51:01 PM,C,21.66
5/14/22, 3:21:01 PM,C,22.161
5/14/22, 3:51:01 PM,C,23.161
5/14/22, 4:21:01 PM,C,26.662
5/14/22, 4:51:01 PM,C,22.161
5/14/22, 5:21:01 PM,C,23.662
5/14/22, 5:51:01 PM,C,19.657
5/14/22, 6:21:01 PM,C,17.654
5/14/22, 6:51:01 PM,C,15.649
5/14/22, 7:21:01 PM,C,14.646
5/14/22, 7:51:01 PM,C,12.639
5/14/22, 8:21:01 PM,C,10.631
5/14/22, 8:51:01 PM,C,9.125
5/14/22, 9:21:01 PM,C,8.622
5/14/22, 9:51:01 PM,C,8.12
5/14/22, 10:21:01 PM,C,7.115
5/14/22, 10:51:01 PM,C,7.115
5/14/22, 11:21:01 PM,C,6.109
5/14/22, 11:51:01 PM,C,5.607
5/15/22, 12:21:01 AM,C,5.607
5/15/22, 12:51:01 AM,C,5.607
5/15/22, 1:21:01 AM,C,4.601
5/15/22, 1:51:01 AM,C,3.595
5/15/22, 2:21:01 AM,C,3.092
5/15/22, 2:51:01 AM,C,2.588
5/15/22, 3:21:01 AM,C,2.588
5/15/22, 3:51:01 AM,C,3.092
5/15/22, 4:21:01 AM,C,2.588
5/15/22, 4:51:01 AM,C,2.085
5/15/22, 5:21:01 AM,C,1.582
5/15/22, 5:51:01 AM,C,1.078
5/15/22, 6:21:01 AM,C,2.085
5/15/22, 6:51:01 AM,C,3.092
5/15/22, 7:21:01 AM,C,4.601
5/15/22, 7:51:01 AM,C,8.622
5/15/22, 8:21:01 AM,C,14.144
